Item,Description,Quantity,Unit Price(£),Total Price (£),URL
100 RPM N10,Weapon Moter,1,6,6,100rpm N10 Gearmotor - BBB Shop
Pair of 600rpm N10 Gearmotors,Drive Moters,1,11,11,https://shop.bristolbotbuilders.com/product/600n10/
Malenki-Nano Antweight ESC & Receiver,Reciver and esc,1,23,23,https://shop.bristolbotbuilders.com/product/malenki/
Antweight Switch,Switch,1,0.5,0.5,https://shop.bristolbotbuilders.com/product/switch/
Flysky FS -I6x,Radio,1,68.99,68.99,https://www.amazon.co.uk/HAWKS-WORK-Transmitter-Controller-Multirotor/dp/B0B1MLXNY7/ref=sr_1_3?dib=eyJ2IjoiMSJ9.if4wDfmhIYEG5eeDBJH3CXsT9hkAq2H3mtr04TXhZvkf7NJBTI20yfOXaVHKwBMlm1kwaiV_-0Aa2XbN8dLjAFMLCbGqy3XVDlUednQ-RCc8oTlU9--1zHPDQeOwYYzJ-Zp6QiWxescUbr2nO3gMYUKmwUCu54VOqY8uPPYX2D6QeyC44J8-KNmFZfrmkHS0AhnzsSs8NNhoEv9ZTi9Nlk4DYJ1fRpgyBc2w4mk_OcatrUkbLCHzLXBtVjisOCsrZYK8SovVLrWVypdZHx4CZApLKTm-0hUszY_o-w8mp_E.Kn38gj7WogtyMG7VelQynVFa6WoYliwzDe1qOuH_sOE&dib_tag=se&keywords=flysky%2Bi6&qid=1765485574&refinements=p_n_free_shipping_eligible%3A20930951031&rnid=20930950031&sr=8-3&th=1
,,,,109.49,
,,,,$145.96,Grant I need is actually 131 dollars
,,,,,
,,,,,
I already have these,,,,,
